energy_mev,n_events,entries,mean_mm,quantile_used,quantile_mm,quantile_eff_mm,smax_mm,below_fit_threshold,in_fit_exclude_band,geometry_saturated
5900,10000,12675555486,1789.320,0.9999,8200.000,9020.000,12700.000,0,0,0
5960,10000,12804351096,1798.222,0.9999,8300.000,9130.000,12300.000,0,0,0
6000,10000,12891265830,1801.983,0.9999,8500.000,9350.000,12400.000,0,0,0
6070,10000,13041207796,1807.504,0.9999,8300.000,9130.000,12500.000,0,0,0
6140,10000,13191440142,1807.903,0.9999,8400.000,9240.000,12700.000,0,0,0
6210,10000,13341371608,1810.155,0.9999,8600.000,9460.000,12200.000,0,0,0
6280,10000,13492195680,1818.271,0.9999,8500.000,9350.000,14400.000,0,0,0
6350,10000,13642347201,1819.416,0.9999,8400.000,9240.000,12100.000,0,0,0
6420,10000,13792500576,1827.807,0.9999,8400.000,9240.000,12500.000,0,0,0
6490,10000,13940834422,1836.049,0.9999,8300.000,9130.000,12500.000,0,0,0
6560,10000,14094676972,1833.977,0.9999,8400.000,9240.000,12100.000,0,0,0
6630,10000,14243958221,1841.652,0.9999,8300.000,9130.000,12800.000,0,0,0
6700,10008,14405149141,1840.609,0.9999,8400.000,9240.000,11700.000,0,0,0
6770,10008,14556724566,1849.971,0.9999,8400.000,9240.000,13000.000,0,0,0
6840,10008,14706443125,1846.675,0.9999,8400.000,9240.000,13000.000,0,0,0
6910,10008,14856805720,1857.885,0.9999,8400.000,9240.000,12600.000,0,0,0
6980,10008,15007776529,1851.690,0.9999,8400.000,9240.000,14200.000,0,0,0
7000,10008,15050543351,1859.612,0.9999,8300.000,9130.000,11400.000,0,0,0
7080,10008,15222924022,1862.616,0.9999,8500.000,9350.000,12600.000,0,0,0
7160,10008,15394726794,1871.820,0.9999,8500.000,9350.000,11500.000,0,0,0
7240,10008,15567325293,1872.279,0.9999,8500.000,9350.000,12800.000,0,0,0
7320,10008,15739309015,1877.645,0.9999,8400.000,9240.000,13300.000,0,0,0
7400,10008,15911147761,1882.559,0.9999,8500.000,9350.000,13000.000,0,0,0
7480,10008,16083608271,1880.032,0.9999,8700.000,9570.000,14000.000,0,0,0
7560,10000,16241609760,1886.715,0.9999,8400.000,9240.000,12000.000,0,0,0
7640,10000,16413834596,1890.228,0.9999,8500.000,9350.000,11900.000,0,0,0
7720,10000,16584262989,1886.009,0.9999,8500.000,9350.000,12200.000,0,0,0
7800,10000,16757146144,1899.383,0.9999,8500.000,9350.000,14500.000,0,0,0
7880,6000,10157601159,1903.656,0.9999,8500.000,9350.000,12000.000,0,0,0
7960,10000,17101178369,1908.866,0.9999,8500.000,9350.000,12400.000,0,0,0
8000,10000,17186927111,1913.114,0.9999,8500.000,9350.000,14200.000,0,0,0
8090,10000,17380218789,1913.649,0.9999,8500.000,9350.000,13200.000,0,0,0
8180,10000,17575335582,1917.795,0.9999,8600.000,9460.000,14800.000,0,0,0
8270,10000,17766700429,1917.573,0.9999,8400.000,9240.000,12600.000,0,0,0
8360,10000,17959557805,1927.423,0.9999,8400.000,9240.000,13600.000,0,0,0
8450,10010,18172546978,1928.107,0.9999,8400.000,9240.000,12000.000,0,0,0
8540,10010,18365037659,1931.005,0.9999,8500.000,9350.000,12500.000,0,0,0
8630,10010,18558830979,1936.309,0.9999,8500.000,9350.000,13300.000,0,0,0
8720,10010,18752025994,1935.797,0.9999,8500.000,9350.000,13000.000,0,0,0
8810,10010,18946605154,1939.329,0.9999,8500.000,9350.000,12900.000,0,0,0
8900,10010,19140154685,1949.623,0.9999,8700.000,9570.000,13600.000,0,0,0
8990,10010,19333384186,1950.301,0.9999,8600.000,9460.000,13000.000,0,0,0
9000,10010,19353956881,1951.181,0.9999,8500.000,9350.000,14100.000,0,0,0
9100,10010,19569528270,1949.871,0.9999,8600.000,9460.000,12600.000,0,0,0
9200,10010,19785266502,1956.844,0.9999,8600.000,9460.000,12700.000,0,0,0
9300,10008,19995213768,1959.572,0.9999,8700.000,9570.000,13300.000,0,0,0
9400,10008,20210704622,1965.907,0.9999,8600.000,9460.000,12400.000,0,0,0
9500,10008,20425513197,1970.540,0.9999,8600.000,9460.000,13900.000,0,0,0
9600,10008,20639708959,1978.082,0.9999,8500.000,9350.000,12400.000,0,0,0
9700,10008,20854457562,1979.301,0.9999,8600.000,9460.000,12800.000,0,0,0
9800,10008,21071573801,1978.368,0.9999,8500.000,9350.000,13300.000,0,0,0
9900,10008,21285170899,1989.280,0.9999,8700.000,9570.000,13600.000,0,0,0
10000,10008,21502147297,1989.457,0.9999,8500.000,9350.000,13000.000,0,0,0
11000,10010,23653905065,2021.474,0.9999,8700.000,9570.000,13300.000,0,0,0
12000,10005,25792523760,2051.082,0.9999,8800.000,9680.000,13300.000,0,0,0
13000,10000,27928927396,2089.919,0.9999,8900.000,9790.000,13400.000,0,0,0
14000,10013,30116308136,2116.416,0.9999,9000.000,9900.000,13100.000,0,0,0
15000,10008,32250334253,2146.010,0.9999,9000.000,9900.000,14700.000,0,0,0
16000,10013,34417384372,2168.286,0.9999,8900.000,9790.000,12700.000,0,0,0
17000,10017,36584433322,2190.229,0.9999,9000.000,9900.000,13300.000,0,0,0
18000,10010,38708465952,2203.739,0.9999,9000.000,9900.000,15000.000,0,0,0
19000,10005,40838751820,2231.263,0.9999,9200.000,10120.000,14700.000,0,0,0
20000,10008,43000038429,2250.658,0.9999,9300.000,10230.000,15900.000,0,0,0
21000,10000,45116065851,2269.139,0.9999,9200.000,10120.000,15000.000,0,0,0
22000,10010,47310487154,2282.676,0.9999,9100.000,10010.000,16100.000,0,0,0
23000,10024,49531133174,2297.673,0.9999,9200.000,10120.000,15400.000,0,0,0
24000,10005,51585189548,2313.366,0.9999,9200.000,10120.000,14500.000,0,0,0
25000,10020,53814482481,2334.595,0.9999,9200.000,10120.000,13500.000,0,0,0
30000,10008,64500890460,2404.228,0.9999,9400.000,10340.000,15300.000,0,0,0
